FrameCounter,Timestamp,LedState,Stimulation,Output0,Output1,Input0,Input1,Region0G
7417,3889.043264,2,0,1,0,0,0,0.011278258413449
7419,3889.076608,2,0,1,0,0,0,0.0113389335816133
7421,3889.109952,2,0,1,0,0,0,0.0112890683572024
7423,3889.143264,2,0,1,0,0,0,0.0112688433011476
7425,3889.176608,2,0,1,0,0,0,0.011305108918901
7427,3889.209952,2,0,1,0,0,0,0.0113281236378599
7429,3889.243264,2,0,1,0,0,0,0.0113072011660791
7431,3889.276608,2,0,1,0,0,0,0.0113214981884627
7433,3889.30992,2,0,1,0,0,0,0.0112848838628462
7435,3889.343264,2,0,1,0,0,0,0.0113019705481339
7437,3889.376608,2,0,1,0,0,0,0.0112960425144627
7439,3889.40992,2,0,1,0,0,0,0.011303714087449
7441,3889.443264,2,0,1,0,0,0,0.0112315315598051
7443,3889.476608,2,0,1,0,0,0,0.0113173136941065
7445,3889.50992,2,0,1,0,0,0,0.0113239391435037
7447,3889.543264,2,0,1,0,0,0,0.0113235904356407
7449,3889.576576,2,0,1,0,0,0,0.011354974143312
7451,3889.60992,2,0,1,0,0,0,0.0113647379634763
7453,3889.643264,2,0,1,0,0,0,0.0113842656038051
7455,3889.676576,2,0,1,0,0,0,0.0113249852670928
7457,3889.70992,2,0,1,0,0,0,0.0113710147050106
7459,3889.743232,2,0,1,0,0,0,0.0113361439187092
7461,3889.776576,2,0,1,0,0,0,0.0113333542558051
7463,3889.80992,2,0,1,0,0,0,0.0113525331882709
7465,3889.843232,2,0,1,0,0,0,0.0113661327949284
7467,3889.876576,2,0,1,0,0,0,0.011356020266901
7469,3889.90992,2,0,1,0,0,0,0.0113929833003804
7471,3889.943232,2,0,1,0,0,0,0.0113574150983531
7473,3889.976576,2,0,1,0,0,0,0.0113493948175037
7475,3890.009888,2,0,1,0,0,0,0.011330913300764
7477,3890.043232,2,0,1,0,0,0,0.01138252206449
7479,3890.076576,2,0,1,0,0,0,0.0113201033570106
7481,3890.109888,2,0,1,0,0,0,0.0113452103231476
7483,3890.143232,2,0,1,0,0,0,0.0113249852670928
7485,3890.176576,2,0,1,0,0,0,0.011278258413449
7487,3890.209888,2,0,1,0,0,0,0.0113413745366544
7489,3890.243232,2,0,1,0,0,0,0.0112869761100243
7491,3890.276544,2,0,1,0,0,0,0.0113197546491476
7493,3890.309888,2,0,1,0,0,0,0.0113473025703257
7495,3890.343232,2,0,1,0,0,0,0.0113598560533941
7497,3890.376544,2,0,1,0,0,0,0.0113776401544078
7499,3890.409888,2,0,1,0,0,0,0.0113779888622709
7501,3890.443232,2,0,1,0,0,0,0.0114372691989832
7503,3890.476544,2,0,1,0,0,0,0.0114198338058325
7505,3890.509888,2,0,1,0,0,0,0.01138252206449
7507,3890.543232,2,0,1,0,0,0,0.0114463356034215
7509,3890.576544,2,0,1,0,0,0,0.0114215773451476
7511,3890.609888,2,0,1,0,0,0,0.0114791141425448
7513,3890.6432,2,0,1,0,0,0,0.0114526123449558
7515,3890.676544,2,0,1,0,0,0,0.0114968982435585
7517,3890.709888,2,0,1,0,0,0,0.0115167745917503
7519,3890.7432,2,0,1,0,0,0,0.0114620274572571
7521,3890.776544,2,0,1,0,0,0,0.0113839168959421
7523,3890.809888,2,0,1,0,0,0,0.0113647379634763
7525,3890.8432,2,0,1,0,0,0,0.0114679554909284
7527,3890.876544,2,0,1,0,0,0,0.0115227026254215
7529,3890.909856,2,0,1,0,0,0,0.0115021288615037
7531,3890.9432,2,0,1,0,0,0,0.0115160771760242
7533,3890.976544,2,0,1,0,0,0,0.0114982930750105
7535,3891.009856,2,0,1,0,0,0,0.0114982930750105
7537,3891.0432,2,0,1,0,0,0,0.0114268079630928
7539,3891.076544,2,0,1,0,0,0,0.0114888779627092
7541,3891.109856,2,0,1,0,0,0,0.0113996087497777
7543,3891.1432,2,0,1,0,0,0,0.0114121622328462
7545,3891.176512,2,0,1,0,0,0,0.0114397101540243
7547,3891.209856,2,0,1,0,0,0,0.0114895753784352
7549,3891.2432,2,0,1,0,0,0,0.0114794628504078
7551,3891.276512,2,0,1,0,0,0,0.0114428485247914
7553,3891.309856,2,0,1,0,0,0,0.0114777193110927
7555,3891.3432,2,0,1,0,0,0,0.0114456381876955
7557,3891.376512,2,0,1,0,0,0,0.0114037932441339
7559,3891.409856,2,0,1,0,0,0,0.0114215773451476
7561,3891.443168,2,0,1,0,0,0,0.0114163467272024
7563,3891.476512,2,0,1,0,0,0,0.0114156493114763
7565,3891.509856,2,0,1,0,0,0,0.0114177415586544
7567,3891.543168,2,0,1,0,0,0,0.0113926345925174
7569,3891.576512,2,0,1,0,0,0,0.0113999574576407
7571,3891.609856,2,0,1,0,0,0,0.0113678763342435
7573,3891.643168,2,0,1,0,0,0,0.0113797324015859
7575,3891.676512,2,0,1,0,0,0,0.0113344003793942
7577,3891.709824,2,0,1,0,0,0,0.0113410258287914
7579,3891.743168,2,0,1,0,0,0,0.0112820941999421
7581,3891.776512,2,0,1,0,0,0,0.0113281236378599
7583,3891.809824,2,0,1,0,0,0,0.0113347490872572
7585,3891.843168,2,0,1,0,0,0,0.0112712842561887
7587,3891.876512,2,0,1,0,0,0,0.011303714087449
7589,3891.909824,2,0,1,0,0,0,0.0112751200426818
7591,3891.943168,2,0,1,0,0,0,0.0112747713348188
7593,3891.97648,2,0,1,0,0,0,0.0112855812785723
7595,3892.009824,2,0,1,0,0,0,0.0113194059412846
7597,3892.043168,2,0,1,0,0,0,0.0112486182450928
7599,3892.07648,2,0,1,0,0,0,0.0112608230202983
7601,3892.109824,2,0,1,0,0,0,0.0112629152674764
7603,3892.143136,2,0,1,0,0,0,0.0112936015594216
7605,3892.17648,2,0,1,0,0,0,0.0112691920090106
7607,3892.209824,2,0,1,0,0,0,0.0112423415035586
7609,3892.243136,2,0,1,0,0,0,0.0112329263912572
7611,3892.27648,2,0,1,0,0,0,0.0112245574025449
7613,3892.309824,2,0,1,0,0,0,0.0112548949866271
7615,3892.343136,2,0,1,0,0,0,0.0112594281888462
7617,3892.37648,2,0,1,0,0,0,0.0112479208293668
7619,3892.409792,2,0,1,0,0,0,0.0111875943690654
